item_id,title,海外,台湾,青海省,四川省,湖南省,福建省,上海,黑龙江省,内蒙古自治区,北京,宁夏回族自治区,贵州省,广东省,江西省,江苏省,天津,香港特别行政区,陕西省,新疆维吾尔自治区,云南省,河南省,广西壮族自治区,浙江省,山东省,辽宁省,河北省,澳门特别行政区,甘肃省,西藏自治区,海南省,重庆,湖北省,安徽省,吉林省,山西省
12289722140,康师傅 大食袋红烧牛肉面 120g*5袋 方便面泡面,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
12332271743,康师傅 经典袋鲜虾鱼板面 92g*5袋 方便面泡面袋装速食面,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
12426175516,统一100 老坛酸菜牛肉面121g*5包 方便面泡面 这酸爽,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1
13154622137,新加坡进口KOKA鸡汤方便面5*85g/包泡面袋装干拌面炸酱面速食拉面,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
13477299941,新加坡进口KOKA黑椒方便面5*85g/包泡面袋装干拌面炸酱面速食拉面,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
14399526154,方便粉丝白家陈记重庆酸辣粉425g5连包阿宽方便面泡面,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
15116178602,顶味挂面蛋清拉面908g炒面的面条凉面速食劲道面条,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1
15332809771,香港进口日清出前一丁九州猪骨味 100g*5/袋 进口方便面泡面煮面,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
15618890254,泰国进口养养泰式青咖喱汤面70*5/袋泡面方便面,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
17415365175,NISSIN日清泡面 合味道海鲜风味84g/杯 速食方便面,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
18487798087,韩国进口农心辛拉面五连包120g*5方便面速食韩国泡面非火鸡面,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
